LotArea,OverallQual,OverallCond,YearBuilt,BsmtQual,BsmtExposure,TotalBsmtSF,CentralAir,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,GarageCars,Neighborhood_Crawfor,Neighborhood_NridgHt,Neighborhood_StoneBr,BsmtGLQ,HeatingQC_Ex,Baths,TotalPorch
9.360655132635053,5,6,1961,2,1,270.0,1,896,0.0,1,0,1.0,0,0,0,0.0,0,1.0,260
9.565704457114814,6,6,1958,2,1,406.0,1,1329,0.0,2,0,1.0,0,0,0,0.0,0,1.5,429
9.534595424658805,5,5,1997,3,1,137.0,1,1629,0.0,1,1,2.0,0,0,0,1.0,0,2.5,246
9.208137948420985,6,6,1998,2,1,324.0,1,1604,0.0,2,1,2.0,0,0,0,1.0,1,2.5,396
8.518192691749322,8,5,1992,3,1,1017.0,1,1280,0.0,2,0,2.0,0,0,1,0.0,1,2.0,226
9.210340371976184,6,5,1993,3,1,763.0,1,1655,0.0,1,1,2.0,0,0,0,0.0,0,2.5,241
8.984693690443855,6,7,1992,3,1,233.0,1,1187,0.0,1,0,2.0,0,0,0,0.0,1,2.0,504
9.036225051729328,6,5,1998,3,1,789.0,1,1465,0.0,1,1,2.0,0,0,0,0.0,0,2.5,75
9.227787285579904,7,5,1990,3,4,663.0,1,1341,0.0,2,1,2.0,0,0,0,1.0,0,1.5,192
9.035986984831405,4,5,1970,2,1,0.0,1,882,0.0,1,0,2.0,0,0,0,0.0,0,1.0,240
8.675563527387679,7,5,1999,3,1,354.0,1,1337,0.0,2,1,2.0,0,0,0,1.0,1,2.0,271
7.426549072397305,6,5,1971,2,1,327.0,1,987,0.0,1,0,1.0,0,0,0,0.0,0,1.5,275
7.426549072397305,5,5,1971,2,1,225.0,1,1092,0.0,1,0,1.0,0,0,0,0.0,0,1.5,0
7.731930721948487,6,6,1975,2,1,341.0,1,1456,0.0,2,1,2.0,0,0,0,0.0,0,2.5,173
7.731930721948487,7,6,1975,3,1,836.0,1,836,0.0,1,0,1.0,0,0,0,0.0,1,1.0,30
9.461721464701633,9,5,2009,4,1,1590.0,1,2334,0.0,3,1,3.0,0,1,0,0.0,1,2.5,277
9.463663891791525,8,5,2009,3,1,1544.0,1,1544,0.0,2,0,3.0,0,1,0,0.0,1,2.0,35
9.351839934249883,9,5,2005,4,1,1588.0,1,1698,0.0,3,1,3.0,0,1,0,1.0,1,2.0,266
9.555489144076292,8,5,2005,4,1,1794.0,1,1822,0.0,3,1,3.0,0,1,0,1.0,1,2.0,119
9.568014816248,9,5,2003,4,4,1473.0,1,2696,0.0,3,2,3.0,0,1,0,1.0,1,2.5,370
9.521494800613103,8,5,2002,3,4,1093.0,1,2250,0.0,2,1,3.0,0,1,0,1.0,1,2.5,368
8.872346978983032,8,5,2006,3,2,1346.0,1,1370,0.0,2,1,2.0,0,1,0,1.0,1,2.0,169
9.825201634137583,6,5,2005,3,1,1324.0,1,1324,0.0,2,0,2.0,0,0,0,0.0,1,2.0,59
8.071843149609156,7,5,2006,3,3,1129.0,1,1145,0.0,2,0,2.0,0,0,0,1.0,1,2.0,216
9.495519314209846,7,5,2004,3,1,58.0,1,1374,0.0,2,1,2.0,0,0,0,1.0,1,2.5,100
9.05683948099042,7,5,2004,3,1,847.0,1,1733,0.0,2,1,2.0,0,0,0,0.0,1,2.5,192
9.766120240743216,8,5,1998,4,1,1629.0,1,2475,0.0,2,1,3.0,0,0,0,0.0,1,2.5,451
9.103534367658373,8,5,2005,3,0,1595.0,1,1595,0.0,2,1,3.0,0,0,0,0.0,1,2.0,144
9.128587870103924,7,5,2009,3,1,1218.0,1,1218,0.0,2,0,2.0,0,0,0,0.0,1,2.0,136
9.25339986143663,6,5,2005,4,1,54.0,1,1468,0.0,2,1,2.0,0,0,0,1.0,1,2.0,318
9.38597294061934,7,5,2004,3,3,831.0,1,1659,0.0,2,0,2.0,0,0,0,0.0,1,2.5,212
9.190137664658664,5,5,1920,2,1,816.0,0,1012,0.0,1,0,1.0,0,0,0,0.0,0,1.0,201
9.64277192831416,6,6,1974,2,4,223.0,1,1494,0.0,1,2,2.0,0,0,0,0.0,1,2.0,482
9.483644576482007,8,5,1993,3,1,0.0,1,2349,0.0,2,1,3.0,0,0,0,0.0,1,2.5,162
9.317758768743452,8,5,1992,3,1,261.0,1,2225,0.0,2,1,3.0,0,0,0,1.0,1,2.5,228
8.483636407887394,7,5,2004,4,3,190.0,1,1488,0.0,2,1,2.0,0,0,0,1.0,1,2.0,218
8.164794804244766,7,5,2004,3,1,840.0,1,1680,0.0,2,0,2.0,0,0,0,0.0,1,2.5,111
8.075582636671719,7,5,2004,3,3,320.0,1,1200,0.0,2,0,2.0,0,0,0,1.0,1,2.5,172
7.841492924460013,7,5,2004,3,1,190.0,1,1200,0.0,2,0,2.0,0,0,0,1.0,1,2.5,172
7.841492924460013,6,5,2005,3,1,224.0,1,1236,0.0,2,0,2.0,0,0,0,1.0,1,2.5,166
7.99967857949945,6,5,2000,3,1,290.0,1,1512,0.0,2,0,2.0,0,0,0,1.0,1,2.5,32
7.784473235736469,7,5,2003,3,1,286.0,1,1080,0.0,2,0,2.0,0,0,0,1.0,1,2.5,50
9.461332526110134,8,5,2010,4,1,610.0,1,1418,0.0,2,1,3.0,0,0,0,1.0,1,1.5,576
8.906393407058367,8,5,2000,3,1,491.0,1,1848,0.0,2,1,2.0,0,0,0,1.0,1,2.5,464
8.987196820661973,7,5,2002,3,1,659.0,1,1492,0.0,2,1,2.0,0,0,0,1.0,1,2.0,414
9.254931255304056,6,6,1967,2,1,1323.0,1,1829,0.0,1,0,2.0,0,0,0,1.0,0,2.0,76
9.286467732363734,6,5,1993,3,2,143.0,1,2495,0.0,2,1,2.0,0,0,0,1.0,1,2.5,256
9.84357829978222,6,5,1978,3,2,491.0,1,1891,1.0,1,1,2.0,0,0,0,0.0,0,3.9,69
9.169518377455928,6,6,1971,2,1,386.0,1,1645,0.0,1,0,2.0,0,0,0,0.0,0,2.0,78
9.169518377455928,5,5,1966,2,1,534.0,1,1232,0.0,1,0,2.0,0,0,0,0.0,0,1.5,224
9.200290036122679,5,5,1966,3,1,150.0,1,1209,0.0,1,0,2.0,0,0,0,0.0,0,1.0,120
9.177817180270623,5,6,1967,2,1,500.0,1,1510,0.0,2,0,2.0,0,0,0,0.0,1,2.0,244
9.268609280100158,6,5,1964,2,1,533.0,1,1775,0.0,1,0,2.0,0,0,0,0.0,0,2.0,172
9.492507263739851,5,6,1962,2,1,228.0,1,1728,0.0,1,0,0.0,0,0,0,0.0,0,2.0,0
9.182352335436015,5,7,1952,2,1,470.0,1,2461,0.0,1,2,2.0,0,0,0,0.0,0,2.0,0
9.761923988214342,6,6,1949,2,1,482.0,1,1556,0.0,1,1,2.0,0,0,0,0.0,0,2.0,150
9.339612707680322,6,8,1966,2,4,136.0,1,1128,0.0,2,1,1.0,0,0,0,1.0,0,1.0,238
9.020026965252676,5,5,1958,2,1,1604.0,1,1604,0.0,1,0,2.0,0,0,0,0.0,0,2.0,42
9.011523512653033,7,5,2003,3,1,292.0,1,1480,0.0,2,0,2.0,0,0,0,1.0,1,2.0,325
8.99342737041261,5,5,1959,2,1,125.0,1,1143,0.0,1,0,1.0,0,0,0,0.0,0,1.0,0
9.280332743796217,5,5,1959,2,1,270.0,1,1206,0.0,1,0,1.0,0,0,0,0.0,0,1.0,21
9.213535262872703,6,5,1959,2,1,510.0,1,1580,0.0,1,2,2.0,0,0,0,0.0,1,1.5,188
9.033841828485016,4,5,1956,2,1,832.0,1,1337,0.0,1,0,1.0,0,0,0,0.0,0,1.0,0
9.301094735244646,5,7,1952,2,1,525.0,1,1064,1.0,0,0,1.0,0,0,0,0.0,0,1.9,0
9.296059247378722,5,6,1955,2,1,324.0,1,972,0.0,1,0,1.0,0,0,0,0.0,0,1.0,205
9.516868732224324,5,5,1958,2,3,456.0,1,988,0.0,1,0,1.0,0,0,0,0.0,0,1.0,0
8.974364841846596,4,7,1920,2,1,576.0,1,985,1.0,1,0,2.0,0,0,0,0.0,0,1.9,0
8.995164990311151,6,8,1948,2,1,161.0,1,1224,0.0,1,0,1.0,0,0,0,0.0,0,1.0,414
8.940498217652733,5,6,1960,2,1,237.0,1,1175,0.0,1,0,2.0,0,0,0,0.0,1,1.5,0
9.18604767940714,6,7,1963,2,4,415.0,1,1395,0.0,1,1,2.0,0,0,0,0.0,0,1.0,1010
8.476371196895983,4,5,1900,2,1,661.0,1,1844,0.0,1,2,1.0,0,0,0,0.0,0,1.0,84
8.408493774492896,5,7,1920,2,1,357.0,1,936,0.0,1,1,0.0,0,0,0,0.0,0,1.0,186
8.666474894131992,5,7,1957,2,2,0.0,1,1347,1.0,2,0,2.0,0,0,0,0.0,0,1.9,0
8.83927669058535,6,7,1938,3,1,827.0,1,1251,0.0,0,0,1.0,0,0,0,0.0,0,1.0,0
9.380167531188448,5,7,1948,2,1,247.0,1,1633,0.0,2,1,1.0,0,0,0,0.0,1,1.0,226
9.01663425631559,5,6,1920,2,1,832.0,1,1245,0.0,1,0,1.0,0,0,0,0.0,0,1.0,334
9.175334762777366,2,2,1923,1,1,678.0,0,832,0.0,1,1,2.0,0,0,0,0.0,0,1.0,0
9.169518377455928,8,9,1900,2,1,930.0,0,1566,0.0,2,0,1.0,0,0,0,0.0,0,2.0,528
9.104979856318355,8,9,1890,1,1,346.0,1,2268,0.0,2,0,2.0,0,0,0,0.0,1,3.0,108
9.109967397829397,5,3,1910,2,2,840.0,0,2256,0.0,0,0,0.0,0,0,0,0.0,0,2.0,36
9.264828557260252,6,7,1922,1,1,455.0,1,1470,0.0,1,0,2.0,0,0,0,0.0,1,1.5,0
8.670772279344538,5,6,1950,2,1,200.0,1,1612,0.0,1,0,1.0,0,0,0,0.0,1,1.5,0
8.96098117384356,7,7,1922,3,1,634.0,0,2068,0.0,2,1,1.0,0,0,0,0.0,0,1.5,60
8.517193191416238,4,7,1925,2,1,577.0,0,765,0.0,2,0,1.0,0,0,0,0.0,0,1.0,176
8.699514748210191,6,7,1939,2,1,144.0,1,1132,0.0,1,0,1.0,0,0,0,0.0,0,1.0,128
8.699514748210191,6,6,1940,2,1,308.0,1,1196,1.0,1,2,2.0,0,0,0,0.0,1,2.4,0
8.757783656334167,5,6,1942,2,1,316.0,1,1453,0.0,2,2,1.0,0,0,0,0.0,0,1.5,183
8.699514748210191,6,7,1948,2,1,480.0,1,1416,0.0,1,0,1.0,0,0,0,0.0,0,1.5,269
8.738735461363474,5,7,1936,2,1,252.0,1,1040,0.0,1,0,2.0,0,0,0,0.0,0,1.0,338
8.738735461363474,5,5,1930,2,1,480.0,1,1536,0.0,1,1,2.0,0,0,0,0.0,0,2.0,10
8.719317375506371,6,5,1923,1,1,164.0,1,1068,0.0,1,1,1.0,0,0,0,0.0,0,1.0,128
