Id,SalePrice
1461,113770.34808537712
1462,135147.94034114538
1463,156875.85732986618
1464,188749.77526404132
1465,166219.26242939514
1466,175636.71741621525
1467,158230.43592719178
1468,169400.63274290058
1469,168098.36553568795
1470,106054.22008473329
1471,163246.909682652
1472,102462.65278507599
1473,90718.25951651168
1474,143868.7282982023
1475,117599.08388159759
1476,377486.3594093864
1477,262727.34272236767
1478,319979.5231338167
1479,277054.370233853
1480,411760.485115413
1481,315678.28051647556
1482,207754.24418547846
1483,166027.02607247344
1484,186048.61584189328
1485,157180.2607291927
1486,193230.93166603506
1487,323586.82232146035
1488,217707.18193374207
1489,206639.3043265265
1490,161347.24958145365
1491,189899.19369022571
1492,99865.48877526949
1493,189013.12175155708
1494,241700.51355608154
1495,235349.3044602322
1496,187770.5566819679
1497,162046.2715123224
1498,166155.65250805984
1499,156080.52969907824
1500,151474.2497818507
1501,168334.57714336016
1502,152753.11106675706
1503,230818.32666931013
1504,227584.40089053102
1505,186110.7381986076
1506,169488.90584838676
1507,204159.0071001095
1508,169087.53650608563
1509,145186.84312453633
1510,119958.0346681423
1511,113444.6193442801
1512,138850.26137656544
1513,140222.76607208507
1514,112002.03643948672
1515,154596.94766097458
1516,161074.46718669505
1517,146042.7856391927
1518,139238.4980097461
1519,162257.3652397494
1520,102610.03995710892
1521,102883.93649921105
1522,150002.76224102124
1523,116268.19583319404
1524,112115.97838751842
1525,107120.86094571844
1526,113914.59242835108
1527,103497.00897977523
1528,131742.4375522459
1529,113790.08634070995
1530,188425.29985424716
1531,126506.54688037414
1532,84692.77103786818
1533,127233.16219128403
1534,116520.08958916183
1535,140036.39509321577
1536,116810.17670974795
1537,67781.95076385044
1538,157064.6962708735
1539,169535.37169047564
1540,89513.64275732868
1541,134141.08502241893
1542,112891.15156913734
1543,166670.16781657844
1544,80898.87572830409
1545,98068.8633936443
1546,121865.31558691782
1547,122743.69797340293
1548,130132.0641074597
1549,110744.18048112707
1550,124223.82127064836
1551,92078.67645373972
1552,127221.4919003895
1553,146793.7271741801
1554,120583.27416811041
1555,141770.93073137826
1556,98641.44856831989
1557,96213.18121665118
1558,90991.98709700341
1559,91193.5110105043
1560,140455.63753731776
1561,127587.7328786146
1562,115554.193906477
1563,106626.8817336373
1564,134950.61577542187
1565,133677.51215303605
1566,189295.4908394764
1567,61839.64247052471
1568,197625.7649763356
1569,128289.98747522646
1570,123850.41696427505
1571,124290.03868078958
1572,116826.91585343782
1573,211701.8872911382
1574,133767.5039619966
1575,165903.2610850571
1576,190118.6963946574
1577,196449.3452839757
1578,122275.47152536722
1579,126605.57248438944
1580,180582.77343169623
1581,131923.00534139827
1582,115407.61309755502
1583,250085.00493211046
1584,250915.5556561609
1585,137131.065496246
1586,70629.10725385175
1587,104070.93977525727
1588,128697.42382118561
1589,103210.23529416784
1590,112500.99721596186
1591,108161.14797894313
1592,116070.45034023757
1593,122141.33220376725
1594,151115.6339403685
1595,107297.88835269319
1596,215271.31673736995
1597,188104.41736344228
1598,206154.58362274675
1599,165208.6730434742
1600,171442.54310418997
1601,76623.30277480891
1602,98667.04810397553
1603,100867.54343465771
1604,234492.22204001344
1605,241913.47512912785
1606,172333.89503667995
1607,155249.88708670592
1608,215970.8852193431
1609,200584.9308441225
1610,160153.1147485486
1611,137426.82807642166
1612,169260.73780917685
1613,171338.0432695488
1614,111912.17384637325
1615,85156.54981136789
1616,83391.32259864078
1617,85011.83486721833
1618,108092.41006230515
1619,131087.84149558932
1620,167424.69070662296
1621,109029.6876588363
1622,142365.77275492164
1623,225561.94165118755
1624,190932.16316265127
1625,102975.36229683326
1626,140328.9151821269
1627,171215.26299516248
1628,251111.9948204461
1629,183139.6758071226
1630,252885.9550251895
1631,185932.84531244403
1632,195269.10189336984
1633,165135.39439172755
1634,176930.06820125692
1635,167524.38274924833
1636,159100.6521995237
1637,178264.2893111706
1638,213311.88283079973
1639,170695.51762203767
1640,235357.55697947563
1641,131366.07772912484
1642,200771.69650137416
1643,217285.0335107237
1644,212009.18885218672
1645,148106.63620232837
1646,137056.61185817965
1647,127777.50272995087
1648,136781.58198494563
1649,116160.69644203022
1650,107995.89534292284
1651,113376.76148409738
1652,91133.68285093422
1653,93172.70478714597
1654,146723.81199830887
1655,120736.1154776424
1656,143597.37870119084
1657,146195.1116175235
1658,144203.93521664123
1659,102978.31661922923
1660,132732.29909165102
1661,355112.18897994136
1662,346437.847127795
1663,308163.8514128798
1664,374220.4644060175
1665,341865.04622973915
1666,243134.3865429961
1667,331285.2111756853
1668,262638.2822910476
1669,261637.43137933663
1670,281840.15872728545
1671,203401.2043513886
1672,300962.5605180862
1673,300542.965703439
1674,236293.22416592148
1675,163607.7916244683
1676,156826.15125790142
1677,168438.29520979495
1678,354992.1639156756
1679,292717.4985085098
1680,312694.602926454
1681,290320.8596669594
1682,247244.02118248265
1683,178880.4167032874
